,,,,,,,,,
Operating Airline,Operating Airline IATA Code,Published Airline,GEO Region,Activity Type Code,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
Virgin Atlantic,VS,Virgin Atlantic,Europe,Deplaned,11091,Deplaned,11091,2014,August
Virgin Atlantic,VS,Virgin Atlantic,Europe,Enplaned,10803,Enplaned,10803,2014,August
WestJet Airlines,WS,WestJet Airlines,Canada,Deplaned,8543,Deplaned,8543,2014,August
WestJet Airlines,WS,WestJet Airlines,Canada,Enplaned,8577,Enplaned,8577,2014,August
XL Airways France,SE,XL Airways France,Europe,Deplaned,2937,Deplaned,2937,2014,August
XL Airways France,SE,XL Airways France,Europe,Enplaned,2870,Enplaned,2870,2014,August
Aer Lingus,EI,Aer Lingus,Europe,Deplaned,5512,Deplaned,5512,2014,September
Aer Lingus,EI,Aer Lingus,Europe,Enplaned,5459,Enplaned,5459,2014,September
Aeromexico,AM,Aeromexico,Mexico,Deplaned,7445,Deplaned,7445,2014,September
Aeromexico,AM,Aeromexico,Mexico,Enplaned,7752,Enplaned,7752,2014,September
Air Canada,AC,Air Canada,Canada,Deplaned,18458,Deplaned,18458,2014,September
Air Canada,AC,Air Canada,Canada,Enplaned,18286,Enplaned,18286,2014,September
Air Canada,AC,Air Canada,Canada,Deplaned,18459,Deplaned,18459,2014,September
Air Canada,AC,Air Canada,Canada,Enplaned,18287,Enplaned,18287,2014,September
Air China,CA,Air China,Asia,Deplaned,8187,Deplaned,8187,2014,September
Air China,CA,Air China,Asia,Enplaned,6310,Enplaned,6310,2014,September
Air France,AF,Air France,Europe,Deplaned,14146,Deplaned,14146,2014,September
Air France,AF,Air France,Europe,Enplaned,15447,Enplaned,15447,2014,September
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Deplaned,8418,Deplaned,8418,2014,September
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Enplaned,8636,Enplaned,8636,2014,September
AirTran Airways,FL,AirTran Airways,US,Deplaned,3566,Deplaned,3566,2014,September
AirTran Airways,FL,AirTran Airways,US,Enplaned,3526,Enplaned,3526,2014,September
Alaska Airlines,AS,Alaska Airlines,US,Deplaned,50729,Deplaned,50729,2014,September
Alaska Airlines,AS,Alaska Airlines,US,Enplaned,48740,Enplaned,48740,2014,September
Alaska Airlines,AS,Alaska Airlines,Mexico,Deplaned,5008,Deplaned,5008,2014,September
Alaska Airlines,AS,Alaska Airlines,Mexico,Enplaned,4823,Enplaned,4823,2014,September
All Nippon Airways,NH,All Nippon Airways,Asia,Deplaned,6778,Deplaned,6778,2014,September
All Nippon Airways,NH,All Nippon Airways,Asia,Enplaned,6615,Enplaned,6615,2014,September
American Airlines,AA,American Airlines,US,Deplaned,123303,Deplaned,123303,2014,September
American Airlines,AA,American Airlines,US,Enplaned,123172,Enplaned,123172,2014,September
Asiana Airlines,OZ,Asiana Airlines,Asia,Deplaned,8053,Deplaned,8053,2014,September
Asiana Airlines,OZ,Asiana Airlines,Asia,Enplaned,7151,Enplaned,7151,2014,September
British Airways,BA,British Airways,Europe,Deplaned,18815,Deplaned,18815,2014,September
British Airways,BA,British Airways,Europe,Enplaned,19011,Enplaned,19011,2014,September
Cathay Pacific,CX,Cathay Pacific,Asia,Deplaned,16665,Deplaned,16665,2014,September
Cathay Pacific,CX,Cathay Pacific,Asia,Enplaned,14977,Enplaned,14977,2014,September
China Airlines,CI,China Airlines,Asia,Deplaned,7979,Deplaned,7979,2014,September
China Airlines,CI,China Airlines,Asia,Enplaned,7442,Enplaned,7442,2014,September
China Eastern,MU,China Eastern,Asia,Deplaned,6030,Deplaned,6030,2014,September
China Eastern,MU,China Eastern,Asia,Enplaned,4797,Enplaned,4797,2014,September
Compass Airlines,CP,Delta Air Lines,US,Deplaned,33630,Deplaned,33630,2014,September
Compass Airlines,CP,Delta Air Lines,US,Enplaned,33099,Enplaned,33099,2014,September
Delta Air Lines,DL,Delta Air Lines,US,Deplaned,125472,Deplaned,125472,2014,September
Delta Air Lines,DL,Delta Air Lines,US,Enplaned,125715,Enplaned,125715,2014,September
EVA Airways,BR,EVA Airways,Asia,Deplaned,14243,Deplaned,14243,2014,September
EVA Airways,BR,EVA Airways,Asia,Enplaned,14980,Enplaned,14980,2014,September
Emirates,EK,Emirates,Middle East,Deplaned,9836,Deplaned,9836,2014,September
Emirates,EK,Emirates,Middle East,Enplaned,9544,Enplaned,9544,2014,September
Frontier Airlines,F9,Frontier Airlines,US,Deplaned,19152,Deplaned,19152,2014,September
Frontier Airlines,F9,Frontier Airlines,US,Enplaned,18782,Enplaned,18782,2014,September
Hawaiian Airlines,HA,Hawaiian Airlines,US,Deplaned,7320,Deplaned,7320,2014,September
Hawaiian Airlines,HA,Hawaiian Airlines,US,Enplaned,7037,Enplaned,7037,2014,September
Japan Airlines,JL,Japan Airlines,Asia,Deplaned,4942,Deplaned,4942,2014,September
Japan Airlines,JL,Japan Airlines,Asia,Enplaned,4671,Enplaned,4671,2014,September
JetBlue Airways,B6,JetBlue Airways,US,Deplaned,41977,Deplaned,41977,2014,September
JetBlue Airways,B6,JetBlue Airways,US,Enplaned,42561,Enplaned,42561,2014,September
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,Europe,Deplaned,11965,Deplaned,11965,2014,September
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,Europe,Enplaned,11774,Enplaned,11774,2014,September
Korean Air Lines,KE,Korean Air Lines,Asia,Deplaned,7241,Deplaned,7241,2014,September
Korean Air Lines,KE,Korean Air Lines,Asia,Enplaned,6191,Enplaned,6191,2014,September
Lufthansa German Airlines,LH,Lufthansa German Airlines,Europe,Deplaned,23886,Deplaned,23886,2014,September
Lufthansa German Airlines,LH,Lufthansa German Airlines,Europe,Enplaned,23838,Enplaned,23838,2014,September
Mesa Airlines,YV,US Airways,US,Deplaned,4708,Deplaned,4708,2014,September
Mesa Airlines,YV,US Airways,US,Enplaned,3434,Enplaned,3434,2014,September
Philippine Airlines,PR,Philippine Airlines,Asia,Deplaned,9287,Deplaned,9287,2014,September
Philippine Airlines,PR,Philippine Airlines,Asia,Enplaned,7259,Enplaned,7259,2014,September
Republic Airlines,RW,Republic Airlines,US,Deplaned,78,Deplaned,78,2014,September
SAS Airlines,SK,SAS Airlines,Europe,Deplaned,7623,Deplaned,7623,2014,September
SAS Airlines,SK,SAS Airlines,Europe,Enplaned,7089,Enplaned,7089,2014,September
Singapore Airlines,SQ,Singapore Airlines,Asia,Deplaned,14398,Deplaned,14398,2014,September
Singapore Airlines,SQ,Singapore Airlines,Asia,Enplaned,12697,Enplaned,12697,2014,September
SkyWest Airlines,OO,Delta Air Lines,US,Deplaned,4180,Deplaned,4180,2014,September
SkyWest Airlines,OO,Delta Air Lines,US,Enplaned,3500,Enplaned,3500,2014,September
SkyWest Airlines,OO,United Airlines,US,Deplaned,136977,Deplaned,136977,2014,September
SkyWest Airlines,OO,United Airlines,US,Enplaned,136108,Enplaned,136108,2014,September
SkyWest Airlines,OO,United Airlines,Canada,Deplaned,2412,Deplaned,2412,2014,September
SkyWest Airlines,OO,United Airlines,Canada,Deplaned,12528,Deplaned,12528,2014,September
SkyWest Airlines,OO,United Airlines,Canada,Enplaned,14605,Enplaned,14605,2014,September
Southwest Airlines,WN,Southwest Airlines,US,Deplaned,139898,Deplaned,139898,2014,September
Southwest Airlines,WN,Southwest Airlines,US,Enplaned,135509,Enplaned,135509,2014,September
Southwest Airlines,WN,Southwest Airlines,US,Thru / Transit,22,Thru / Transit * 2,44,2014,September
Sun Country Airlines,SY,Sun Country Airlines,US,Deplaned,6414,Deplaned,6414,2014,September
Sun Country Airlines,SY,Sun Country Airlines,US,Enplaned,6373,Enplaned,6373,2014,September
Swiss International,LX,Swiss International,Europe,Deplaned,6502,Deplaned,6502,2014,September
Swiss International,LX,Swiss International,Europe,Enplaned,6465,Enplaned,6465,2014,September
TACA,TA,TACA,Central America,Deplaned,4634,Deplaned,4634,2014,September
TACA,TA,TACA,Central America,Enplaned,4479,Enplaned,4479,2014,September
US Airways,US,US Airways,US,Deplaned,67778,Deplaned,67778,2014,September
US Airways,US,US Airways,US,Enplaned,70950,Enplaned,70950,2014,September
United Airlines,UA,United Airlines,US,Deplaned,14395,Deplaned,14395,2014,September
United Airlines,UA,United Airlines,US,Enplaned,13312,Enplaned,13312,2014,September
United Airlines,UA,United Airlines,US,Thru / Transit,19,Thru / Transit * 2,38,2014,September
United Airlines,UA,United Airlines,US,Deplaned,239607,Deplaned,239607,2014,September
United Airlines,UA,United Airlines,US,Enplaned,256958,Enplaned,256958,2014,September
United Airlines,UA,United Airlines,US,Thru / Transit,179,Thru / Transit * 2,358,2014,September
United Airlines,UA,United Airlines,US,Deplaned,349086,Deplaned,349086,2014,September
United Airlines,UA,United Airlines,US,Enplaned,331868,Enplaned,331868,2014,September
United Airlines,UA,United Airlines,US,Thru / Transit,193,Thru / Transit * 2,386,2014,September
United Airlines,UA,United Airlines,Asia,Deplaned,72558,Deplaned,72558,2014,September
United Airlines,UA,United Airlines,Asia,Enplaned,68552,Enplaned,68552,2014,September
United Airlines,UA,United Airlines,Australia / Oceania,Deplaned,6809,Deplaned,6809,2014,September
United Airlines,UA,United Airlines,Australia / Oceania,Enplaned,6808,Enplaned,6808,2014,September
United Airlines,UA,United Airlines,Canada,Deplaned,13254,Deplaned,13254,2014,September
United Airlines,UA,United Airlines,Canada,Enplaned,11596,Enplaned,11596,2014,September
United Airlines,UA,United Airlines,Europe,Deplaned,42992,Deplaned,42992,2014,September
United Airlines,UA,United Airlines,Europe,Enplaned,43473,Enplaned,43473,2014,September
United Airlines,UA,United Airlines,Mexico,Deplaned,12222,Deplaned,12222,2014,September
United Airlines,UA,United Airlines,Mexico,Enplaned,12410,Enplaned,12410,2014,September
Virgin America,VX,Virgin America,US,Deplaned,155823,Deplaned,155823,2014,September
Virgin America,VX,Virgin America,US,Enplaned,157835,Enplaned,157835,2014,September
Virgin America,VX,Virgin America,Mexico,Deplaned,1091,Deplaned,1091,2014,September
Virgin America,VX,Virgin America,Mexico,Enplaned,985,Enplaned,985,2014,September
Virgin Atlantic,VS,Virgin Atlantic,Europe,Deplaned,10873,Deplaned,10873,2014,September
Virgin Atlantic,VS,Virgin Atlantic,Europe,Enplaned,10759,Enplaned,10759,2014,September
WestJet Airlines,WS,WestJet Airlines,Canada,Deplaned,6897,Deplaned,6897,2014,September
WestJet Airlines,WS,WestJet Airlines,Canada,Enplaned,6773,Enplaned,6773,2014,September
Aer Lingus,EI,Aer Lingus,Europe,Deplaned,5234,Deplaned,5234,2014,October
Aer Lingus,EI,Aer Lingus,Europe,Enplaned,4734,Enplaned,4734,2014,October
Aeromexico,AM,Aeromexico,Mexico,Deplaned,8758,Deplaned,8758,2014,October
Aeromexico,AM,Aeromexico,Mexico,Enplaned,10165,Enplaned,10165,2014,October
Air Canada,AC,Air Canada,Canada,Deplaned,11687,Deplaned,11687,2014,October
Air Canada,AC,Air Canada,Canada,Enplaned,11598,Enplaned,11598,2014,October
Air Canada,AC,Air Canada,Canada,Deplaned,19899,Deplaned,19899,2014,October
Air Canada,AC,Air Canada,Canada,Enplaned,19750,Enplaned,19750,2014,October
Air China,CA,Air China,Asia,Deplaned,6838,Deplaned,6838,2014,October
Air China,CA,Air China,Asia,Enplaned,7446,Enplaned,7446,2014,October
Air France,AF,Air France,Europe,Deplaned,13901,Deplaned,13901,2014,October
Air France,AF,Air France,Europe,Enplaned,13579,Enplaned,13579,2014,October
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Deplaned,7695,Deplaned,7695,2014,October
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Enplaned,9474,Enplaned,9474,2014,October
AirTran Airways,FL,AirTran Airways,US,Deplaned,3551,Deplaned,3551,2014,October
AirTran Airways,FL,AirTran Airways,US,Enplaned,3609,Enplaned,3609,2014,October
Alaska Airlines,AS,Alaska Airlines,US,Deplaned,52459,Deplaned,52459,2014,October
Alaska Airlines,AS,Alaska Airlines,US,Enplaned,52902,Enplaned,52902,2014,October
Alaska Airlines,AS,Alaska Airlines,Mexico,Deplaned,4143,Deplaned,4143,2014,October
Alaska Airlines,AS,Alaska Airlines,Mexico,Enplaned,4484,Enplaned,4484,2014,October
All Nippon Airways,NH,All Nippon Airways,Asia,Deplaned,6850,Deplaned,6850,2014,October
All Nippon Airways,NH,All Nippon Airways,Asia,Enplaned,7132,Enplaned,7132,2014,October
American Airlines,AA,American Airlines,US,Deplaned,128065,Deplaned,128065,2014,October
American Airlines,AA,American Airlines,US,Enplaned,127962,Enplaned,127962,2014,October
Asiana Airlines,OZ,Asiana Airlines,Asia,Deplaned,7547,Deplaned,7547,2014,October
Asiana Airlines,OZ,Asiana Airlines,Asia,Enplaned,8140,Enplaned,8140,2014,October
British Airways,BA,British Airways,Europe,Deplaned,18547,Deplaned,18547,2014,October
British Airways,BA,British Airways,Europe,Enplaned,18321,Enplaned,18321,2014,October
Cathay Pacific,CX,Cathay Pacific,Asia,Deplaned,15061,Deplaned,15061,2014,October
Cathay Pacific,CX,Cathay Pacific,Asia,Enplaned,17608,Enplaned,17608,2014,October
China Airlines,CI,China Airlines,Asia,Deplaned,7089,Deplaned,7089,2014,October
China Airlines,CI,China Airlines,Asia,Enplaned,9495,Enplaned,9495,2014,October
China Eastern,MU,China Eastern,Asia,Deplaned,4770,Deplaned,4770,2014,October
China Eastern,MU,China Eastern,Asia,Enplaned,5038,Enplaned,5038,2014,October
Compass Airlines,CP,Delta Air Lines,US,Deplaned,39622,Deplaned,39622,2014,October
Compass Airlines,CP,Delta Air Lines,US,Enplaned,41020,Enplaned,41020,2014,October
Delta Air Lines,DL,Delta Air Lines,US,Deplaned,133818,Deplaned,133818,2014,October
Delta Air Lines,DL,Delta Air Lines,US,Enplaned,131254,Enplaned,131254,2014,October
EVA Airways,BR,EVA Airways,Asia,Deplaned,13312,Deplaned,13312,2014,October
EVA Airways,BR,EVA Airways,Asia,Enplaned,13288,Enplaned,13288,2014,October
Emirates,EK,Emirates,Middle East,Deplaned,8407,Deplaned,8407,2014,October
Emirates,EK,Emirates,Middle East,Enplaned,10194,Enplaned,10194,2014,October
Frontier Airlines,F9,Frontier Airlines,US,Deplaned,17331,Deplaned,17331,2014,October
Frontier Airlines,F9,Frontier Airlines,US,Enplaned,16909,Enplaned,16909,2014,October
Hawaiian Airlines,HA,Hawaiian Airlines,US,Deplaned,7865,Deplaned,7865,2014,October
Hawaiian Airlines,HA,Hawaiian Airlines,US,Enplaned,8086,Enplaned,8086,2014,October
Japan Airlines,JL,Japan Airlines,Asia,Deplaned,4923,Deplaned,4923,2014,October
Japan Airlines,JL,Japan Airlines,Asia,Enplaned,5020,Enplaned,5020,2014,October
JetBlue Airways,B6,JetBlue Airways,US,Deplaned,44137,Deplaned,44137,2014,October
JetBlue Airways,B6,JetBlue Airways,US,Enplaned,44832,Enplaned,44832,2014,October
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,Europe,Deplaned,11188,Deplaned,11188,2014,October
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,Europe,Enplaned,10433,Enplaned,10433,2014,October
Korean Air Lines,KE,Korean Air Lines,Asia,Deplaned,6019,Deplaned,6019,2014,October
Korean Air Lines,KE,Korean Air Lines,Asia,Enplaned,6888,Enplaned,6888,2014,October
Lufthansa German Airlines,LH,Lufthansa German Airlines,Europe,Deplaned,23513,Deplaned,23513,2014,October
Lufthansa German Airlines,LH,Lufthansa German Airlines,Europe,Enplaned,22819,Enplaned,22819,2014,October
Mesa Airlines,YV,US Airways,US,Deplaned,5449,Deplaned,5449,2014,October
Mesa Airlines,YV,US Airways,US,Enplaned,4678,Enplaned,4678,2014,October
Philippine Airlines,PR,Philippine Airlines,Asia,Deplaned,8677,Deplaned,8677,2014,October
Philippine Airlines,PR,Philippine Airlines,Asia,Enplaned,9944,Enplaned,9944,2014,October
SAS Airlines,SK,SAS Airlines,Europe,Deplaned,6958,Deplaned,6958,2014,October
SAS Airlines,SK,SAS Airlines,Europe,Enplaned,6617,Enplaned,6617,2014,October
Singapore Airlines,SQ,Singapore Airlines,Asia,Deplaned,11215,Deplaned,11215,2014,October
Singapore Airlines,SQ,Singapore Airlines,Asia,Enplaned,14072,Enplaned,14072,2014,October
SkyWest Airlines,OO,Delta Air Lines,US,Deplaned,1261,Deplaned,1261,2014,October
SkyWest Airlines,OO,Delta Air Lines,US,Enplaned,1392,Enplaned,1392,2014,October
SkyWest Airlines,OO,United Airlines,US,Deplaned,148903,Deplaned,148903,2014,October
SkyWest Airlines,OO,United Airlines,US,Enplaned,150932,Enplaned,150932,2014,October
SkyWest Airlines,OO,United Airlines,Canada,Deplaned,5831,Deplaned,5831,2014,October
SkyWest Airlines,OO,United Airlines,Canada,Deplaned,7633,Deplaned,7633,2014,October
SkyWest Airlines,OO,United Airlines,Canada,Enplaned,12918,Enplaned,12918,2014,October
Southwest Airlines,WN,Southwest Airlines,US,Deplaned,144431,Deplaned,144431,2014,October
Southwest Airlines,WN,Southwest Airlines,US,Enplaned,144081,Enplaned,144081,2014,October
Southwest Airlines,WN,Southwest Airlines,US,Thru / Transit,27,Thru / Transit * 2,54,2014,October
Sun Country Airlines,SY,Sun Country Airlines,US,Deplaned,6509,Deplaned,6509,2014,October
Sun Country Airlines,SY,Sun Country Airlines,US,Enplaned,6810,Enplaned,6810,2014,October
Swiss International,LX,Swiss International,Europe,Deplaned,6625,Deplaned,6625,2014,October
Swiss International,LX,Swiss International,Europe,Enplaned,6342,Enplaned,6342,2014,October
TACA,TA,TACA,Central America,Deplaned,8970,Deplaned,8970,2014,October
TACA,TA,TACA,Central America,Enplaned,4517,Enplaned,4517,2014,October
US Airways,US,US Airways,US,Deplaned,74235,Deplaned,74235,2014,October
US Airways,US,US Airways,US,Enplaned,76849,Enplaned,76849,2014,October
United Airlines,UA,United Airlines,US,Deplaned,18760,Deplaned,18760,2014,October
United Airlines,UA,United Airlines,US,Enplaned,15040,Enplaned,15040,2014,October
United Airlines,UA,United Airlines,US,Thru / Transit,32,Thru / Transit * 2,64,2014,October
United Airlines,UA,United Airlines,US,Deplaned,252733,Deplaned,252733,2014,October
United Airlines,UA,United Airlines,US,Enplaned,264178,Enplaned,264178,2014,October
United Airlines,UA,United Airlines,US,Thru / Transit,110,Thru / Transit * 2,220,2014,October
United Airlines,UA,United Airlines,US,Deplaned,364006,Deplaned,364006,2014,October
United Airlines,UA,United Airlines,US,Enplaned,355291,Enplaned,355291,2014,October
United Airlines,UA,United Airlines,US,Thru / Transit,256,Thru / Transit * 2,512,2014,October
United Airlines,UA,United Airlines,Asia,Deplaned,66206,Deplaned,66206,2014,October
United Airlines,UA,United Airlines,Asia,Enplaned,73337,Enplaned,73337,2014,October
United Airlines,UA,United Airlines,Australia / Oceania,Deplaned,6849,Deplaned,6849,2014,October
United Airlines,UA,United Airlines,Australia / Oceania,Enplaned,7364,Enplaned,7364,2014,October
United Airlines,UA,United Airlines,Canada,Deplaned,675,Deplaned,675,2014,October
United Airlines,UA,United Airlines,Canada,Enplaned,571,Enplaned,571,2014,October
United Airlines,UA,United Airlines,Canada,Deplaned,3713,Deplaned,3713,2014,October
United Airlines,UA,United Airlines,Canada,Enplaned,1176,Enplaned,1176,2014,October
United Airlines,UA,United Airlines,Canada,Deplaned,7966,Deplaned,7966,2014,October
United Airlines,UA,United Airlines,Canada,Enplaned,9083,Enplaned,9083,2014,October
United Airlines,UA,United Airlines,Europe,Deplaned,38401,Deplaned,38401,2014,October
United Airlines,UA,United Airlines,Europe,Enplaned,34666,Enplaned,34666,2014,October
United Airlines,UA,United Airlines,Mexico,Deplaned,12913,Deplaned,12913,2014,October
United Airlines,UA,United Airlines,Mexico,Enplaned,10127,Enplaned,10127,2014,October
United Airlines,UA,United Airlines,Mexico,Thru / Transit,16,Thru / Transit * 2,32,2014,October
United Airlines,UA,United Airlines,Mexico,Enplaned,150,Enplaned,150,2014,October
United Airlines,UA,United Airlines,Mexico,Enplaned,4880,Enplaned,4880,2014,October
Virgin America,VX,Virgin America,US,Deplaned,165722,Deplaned,165722,2014,October
Virgin America,VX,Virgin America,US,Enplaned,161111,Enplaned,161111,2014,October
Virgin America,VX,Virgin America,Mexico,Deplaned,1101,Deplaned,1101,2014,October
Virgin America,VX,Virgin America,Mexico,Enplaned,1593,Enplaned,1593,2014,October
Virgin Atlantic,VS,Virgin Atlantic,Europe,Deplaned,10597,Deplaned,10597,2014,October
Virgin Atlantic,VS,Virgin Atlantic,Europe,Enplaned,10181,Enplaned,10181,2014,October
WestJet Airlines,WS,WestJet Airlines,Canada,Deplaned,5485,Deplaned,5485,2014,October
WestJet Airlines,WS,WestJet Airlines,Canada,Enplaned,4869,Enplaned,4869,2014,October
Aer Lingus,EI,Aer Lingus,Europe,Deplaned,3858,Deplaned,3858,2014,November
Aer Lingus,EI,Aer Lingus,Europe,Enplaned,3855,Enplaned,3855,2014,November
Aeromexico,AM,Aeromexico,Mexico,Deplaned,8532,Deplaned,8532,2014,November
Aeromexico,AM,Aeromexico,Mexico,Enplaned,10325,Enplaned,10325,2014,November
Air Canada,AC,Air Canada,Canada,Deplaned,10591,Deplaned,10591,2014,November
Air Canada,AC,Air Canada,Canada,Enplaned,10974,Enplaned,10974,2014,November
Air Canada,AC,Air Canada,Canada,Deplaned,9777,Deplaned,9777,2014,November
Air Canada,AC,Air Canada,Canada,Enplaned,10130,Enplaned,10130,2014,November
Air China,CA,Air China,Asia,Deplaned,6666,Deplaned,6666,2014,November
Air China,CA,Air China,Asia,Enplaned,5907,Enplaned,5907,2014,November
Air France,AF,Air France,Europe,Deplaned,8025,Deplaned,8025,2014,November
Air France,AF,Air France,Europe,Enplaned,8279,Enplaned,8279,2014,November
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Deplaned,8016,Deplaned,8016,2014,November
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Enplaned,8849,Enplaned,8849,2014,November
AirTran Airways,FL,AirTran Airways,US,Deplaned,67,Deplaned,67,2014,November
AirTran Airways,FL,AirTran Airways,US,Enplaned,40,Enplaned,40,2014,November
Alaska Airlines,AS,Alaska Airlines,US,Deplaned,51069,Deplaned,51069,2014,November
Alaska Airlines,AS,Alaska Airlines,US,Enplaned,51110,Enplaned,51110,2014,November
Alaska Airlines,AS,Alaska Airlines,Mexico,Deplaned,4598,Deplaned,4598,2014,November
Alaska Airlines,AS,Alaska Airlines,Mexico,Enplaned,5217,Enplaned,5217,2014,November
All Nippon Airways,NH,All Nippon Airways,Asia,Deplaned,6788,Deplaned,6788,2014,November
All Nippon Airways,NH,All Nippon Airways,Asia,Enplaned,6806,Enplaned,6806,2014,November
American Airlines,AA,American Airlines,US,Deplaned,116316,Deplaned,116316,2014,November
American Airlines,AA,American Airlines,US,Enplaned,118663,Enplaned,118663,2014,November
Asiana Airlines,OZ,Asiana Airlines,Asia,Deplaned,7112,Deplaned,7112,2014,November
Asiana Airlines,OZ,Asiana Airlines,Asia,Enplaned,7040,Enplaned,7040,2014,November
British Airways,BA,British Airways,Europe,Deplaned,15731,Deplaned,15731,2014,November
British Airways,BA,British Airways,Europe,Enplaned,15979,Enplaned,15979,2014,November
Cathay Pacific,CX,Cathay Pacific,Asia,Deplaned,16881,Deplaned,16881,2014,November
Cathay Pacific,CX,Cathay Pacific,Asia,Enplaned,17581,Enplaned,17581,2014,November
China Airlines,CI,China Airlines,Asia,Deplaned,8104,Deplaned,8104,2014,November
China Airlines,CI,China Airlines,Asia,Enplaned,10033,Enplaned,10033,2014,November
China Eastern,MU,China Eastern,Asia,Deplaned,4744,Deplaned,4744,2014,November
China Eastern,MU,China Eastern,Asia,Enplaned,4273,Enplaned,4273,2014,November
Compass Airlines,CP,Delta Air Lines,US,Deplaned,35245,Deplaned,35245,2014,November
Compass Airlines,CP,Delta Air Lines,US,Enplaned,36335,Enplaned,36335,2014,November
Delta Air Lines,DL,Delta Air Lines,US,Deplaned,110957,Deplaned,110957,2014,November
Delta Air Lines,DL,Delta Air Lines,US,Enplaned,111322,Enplaned,111322,2014,November
EVA Airways,BR,EVA Airways,Asia,Deplaned,14821,Deplaned,14821,2014,November
EVA Airways,BR,EVA Airways,Asia,Enplaned,15980,Enplaned,15980,2014,November
Emirates,EK,Emirates,Middle East,Deplaned,8380,Deplaned,8380,2014,November
Emirates,EK,Emirates,Middle East,Enplaned,10408,Enplaned,10408,2014,November
Etihad Airways,EY,Etihad Airways,Middle East,Deplaned,908,Deplaned,908,2014,November
Etihad Airways,EY,Etihad Airways,Middle East,Enplaned,3217,Enplaned,3217,2014,November
Frontier Airlines,F9,Frontier Airlines,US,Deplaned,13494,Deplaned,13494,2014,November
Frontier Airlines,F9,Frontier Airlines,US,Enplaned,13489,Enplaned,13489,2014,November
Frontier Airlines,F9,Frontier Airlines,US,Deplaned,4107,Deplaned,4107,2014,November
Frontier Airlines,F9,Frontier Airlines,US,Enplaned,4105,Enplaned,4105,2014,November
Hawaiian Airlines,HA,Hawaiian Airlines,US,Deplaned,8394,Deplaned,8394,2014,November
Hawaiian Airlines,HA,Hawaiian Airlines,US,Enplaned,8572,Enplaned,8572,2014,November
Japan Airlines,JL,Japan Airlines,Asia,Deplaned,4228,Deplaned,4228,2014,November
