Maker ID,Week 6 hours,Week 6 quantity approved,Week 7 hours,Week 7 quantity approved,Week 8 hours,Week 8 quantity approved,Week 9 hours,Week 9 quantity approved,Week 10 hours,Week 10 quantity approved
1802,30,9,35.4,7,31.43,4,36.61,4,33.32,5
1803,36.87,7,39.08,8,45.33,8,41.5,8,43.99,8
1808,18.69,8,17.01,9,19.73,9,6.78,7,6.37,6
1820,10.11,5,11.32,4,10.41,4,4.39,1,3.95,1
1824,33.55,11,32.54,10,28.64,10,15.91,10,14.96,10
1835,28.57,7,30.57,5,33.02,5,20.73,5,19.9,4
1836,50.32,16,48.31,13,46.38,7,52.13,7,57.34,6
1837,59.65,11,65.02,12,56.18,5,74.46,5,77.44,6
1840,32.23,16,35.45,18,40.77,17,34.77,9,34.07,8
1842,29.3,11,26.96,10,19.62,5,20,6,20.2,6
1846,40.97,12,40.15,11,42.96,9,27.09,6,28.72,6
1854,16.73,5,18.9,4,22.11,4,16.88,4,15.53,4
1855,22.21,5,17.77,6,15.28,6,9.35,3,10.29,3
1857,19.6,7,17.25,5,15.35,5,9.58,4,10.54,4
1866,57.14,20,57.14,24,52.57,5,63.65,5,61.1,6
1868,28.56,8,29.13,8,23.07,4,24.86,5,25.61,5
1869,17.36,6,14.76,7,12.52,3,11.22,3,11.56,3
1870,15.49,6,12.39,7,11.5,4,4.22,1,4.14,1
1871,19.84,3,17.66,4,19.25,3,8.9,2,9.35,2
1882,56.22,21,55.1,23,45.18,24,32.31,22,33.28,25
1887,53.42,17,52.35,16,48.69,16,38.28,15,34.83,18
1890,32.24,8,31.92,6,28.41,6,20.27,5,20.27,5
1908,52.13,12,60.47,11,56.12,5,73.67,4,67.78,4
1922,15.46,9,12.52,8,11.64,8,4.8,2,4.56,2
1931,35.19,8,40.12,9,46.14,9,47.37,9,45,10
1943,14.79,8,14.35,6,14.06,6,7.47,4,7.17,4
1947,23.81,10,25.95,11,28.03,9,16.23,7,16.88,8
1950,37.62,8,43.26,6,39.1,3,30.1,3,27.69,3
1956,43.58,13,46.63,13,43.65,6,38.28,6,41.34,6
1957,32.92,10,38.85,9,27.66,4,19.36,3,18.39,3
1962,18.03,7,21.1,5,23.21,5,18.16,5,17.98,6
1966,62.39,10,56.77,10,41.33,5,50.41,4,50.91,4
1968,21.24,9,19.12,9,22.75,9,14.07,6,14.35,6
1971,13.04,3,13.95,3,16.6,3,6.45,2,6,2
1983,55.12,14,53.47,14,52.4,14,38.02,6,41.44,6
1986,41.49,14,37.34,13,23.9,6,16.19,6,17,6
1988,38.99,14,38.99,14,45.62,12,43.73,4,41.11,3
1991,27.11,16,24.4,18,21.08,8,20.72,9,20.1,10
2006,25.1,10,26.36,10,24.78,9,23.24,9,20.92,8
2010,52.4,14,51.88,13,51.88,14,50.59,6,54.64,6
2013,6.47,3,5.95,3,6.07,0,2,1,2,1
2017,31.95,9,26.52,9,29.17,9,24.34,3,26.77,2
2024,26.82,11,25.48,12,22.93,11,19.52,9,18.35,8
2025,16.64,6,16.64,5,13.64,5,9,2,9.81,2
2034,22.89,8,22.2,8,25.53,8,18.51,8,18.88,9
2038,30.73,13,29.81,12,28.62,10,16.18,9,15.86,9
2039,10.41,9,8.95,8,9.13,0,2,1,2,1
2042,52.78,11,61.75,11,67.93,11,70.48,4,69.07,5
2043,35.64,20,34.57,21,33.88,19,25.22,8,24.46,7
2044,29.59,9,29,9,24.07,7,14.83,6,14.53,7
2045,49.14,12,43.73,11,35.42,11,33.44,7,33.77,8
2046,30.24,22,30.54,21,25.65,17,20.19,7,19.18,7
2054,22.53,9,24.56,8,19.65,8,13.83,4,14.94,5
2058,16.55,7,13.57,6,14.25,5,2.97,1,3.27,1
2061,16.23,6,19.31,6,21.82,6,18.31,4,17.94,5
2063,16.32,8,19.42,7,20.97,6,18.74,6,17.43,7
2064,36.84,15,33.52,12,32.18,5,38.24,6,37.86,5
2067,54.6,13,57.33,15,67.65,12,54.56,8,51.29,7
2069,42.26,9,40.99,9,36.07,9,29.96,9,31.16,8
2073,23.66,12,27.21,11,27.21,9,14.67,6,13.79,5
2077,57.12,16,46.84,16,40.75,16,30.53,7,29.92,7
2079,19.38,15,20.74,15,21.15,13,10.34,9,9.82,9
2087,12.86,3,12.35,3,10.57,1,2.57,0,2.65,0
2092,11.86,4,14.23,4,11.81,0,2,0,2,0
2094,57.43,17,63.17,17,42.95,9,51.06,5,51.06,5
2097,30.25,11,24.5,11,20.34,11,12.73,5,11.46,4
2116,23.29,13,22.13,11,15.4,5,7.17,5,6.88,5
2124,46.27,12,47.2,11,31.34,5,39.84,4,40.24,3
2132,63.23,18,56.91,19,54.06,17,57.87,16,54.4,16
2139,24.04,15,28.13,15,21.15,7,19.38,6,18.8,5
2142,15.57,7,12.92,7,12.53,7,2.15,0,2.02,0
2152,28.72,9,31.59,7,24.01,3,18.01,3,19.27,3
2159,41.71,21,45.88,19,37.16,17,33.88,15,31.17,12
2163,44.35,17,36.81,17,40.49,17,27.01,9,28.36,10
2168,40.06,18,33.65,19,39.03,19,26.35,16,27.67,13
2169,30.16,12,30.16,12,25.1,6,19.55,6,19.55,7
2170,34.01,14,31.29,14,30.35,13,29.12,11,31.74,11
2174,13.86,4,15.38,3,17.07,3,9.39,1,10.14,1
2175,80,14,80,14,80,12,80,10,80,8
2180,39.81,7,42.2,7,36.71,7,29.55,6,26.6,7
2184,20.04,9,17.23,9,18.95,9,6.16,7,5.67,8
2185,21.15,6,17.13,7,16.44,7,10.11,5,10.01,5
2190,25.9,10,23.05,8,24.66,8,13.97,6,15.23,6
2193,15.95,4,13.08,3,8.58,2,3.23,1,3.17,1
2194,66.36,11,65.03,13,59.3,6,51.05,7,45.95,8
2196,47.26,11,55.29,11,65.24,9,44.84,6,41.7,6
2197,26.58,9,31.36,9,36.69,7,33.83,3,33.49,3
2199,79.52,22,80,24,80,20,80,15,80,17
2202,71.78,13,59.58,16,51,7,52.29,6,55.43,5
2203,53.35,14,57.62,15,41.94,6,39.61,5,38.82,6
2212,25.13,8,26.39,7,22.17,6,9.4,6,9.4,7
2215,11.7,9,13.57,8,9.66,4,5.17,3,5.17,3
2221,34.9,18,28.62,18,27.25,9,27.4,7,24.93,6
2228,27.42,5,27.97,5,25.06,2,24.64,2,22.92,2
2236,71.39,25,75.67,25,73.4,21,76.68,5,80,4
2242,29.38,10,27.32,9,29.23,8,26.32,3,26.85,3
2251,35.85,9,31.19,10,21.21,4,18.65,3,17.72,3
2253,36.91,11,33.59,11,38.29,9,35.88,9,34.09,8
2271,80,16,80,17,64,7,80,6,80,6
2275,24.4,6,27.57,6,23.43,6,16.49,6,16.65,7
2280,15.62,8,16.56,8,18.88,7,6.48,4,6.54,4
2281,21.05,7,21.89,7,18.91,3,16.46,3,15.97,3
2282,31.3,7,36,7,29.52,6,18.45,5,19.74,4
2283,25.87,7,31.04,7,24.58,3,15.58,3,16.2,4
2287,18.32,6,20.15,5,20.75,5,8.02,2,8.5,2
2291,35.7,11,38.56,13,32.39,11,21.18,8,21.82,7
2294,41.45,17,45.18,17,41.11,17,28.82,9,31.13,9
2296,48.67,11,48.67,11,45.75,11,37.75,11,39.26,12
2299,66.23,14,70.87,15,61.66,15,66.99,14,61.63,16
2300,8,5,6.8,4,6.66,0,2,1,2,1
2306,14.04,5,14.18,5,12.9,4,4.29,2,4.29,2
2310,56.03,11,54.91,10,35.58,5,41.15,4,39.92,3
2311,46.37,15,47.3,16,40.68,15,36.34,7,36.34,8
2315,65.66,11,74.85,12,80,12,80,11,80,10
2317,80,14,80,15,78.93,12,80,6,73.45,7
2320,42.83,7,40.26,7,43.48,6,41,4,41.82,4
2321,14.44,5,13.28,4,9.14,2,2.53,0,2.5,0
2324,15.31,6,12.71,6,10.17,0,2,1,2,1
2328,54.87,14,47.19,17,53.32,17,42.52,12,44.22,11
2329,52.34,16,48.15,17,38.52,16,27.98,15,27.14,17
2332,54.94,16,60.98,18,53.66,16,40.76,8,40.35,9
2333,28.49,15,27.64,16,21.89,9,15.35,8,16.12,9
2341,14.22,5,15.78,3,13.26,3,3.73,2,3.66,2
2348,35.12,14,29.15,16,22.15,8,20.52,7,19.9,8
2355,73.04,12,62.81,12,58.41,12,37.73,11,34.33,12
2356,62.28,17,50.45,17,60.04,17,55.44,14,58.77,13
2370,51.65,9,49.58,8,49.08,7,37.68,4,41.07,5
2373,17.95,7,14.72,5,16.19,5,11.81,4,11.1,3
2378,27.58,15,29.79,13,28.3,14,27.39,11,25.75,9
2382,18.41,3,16.57,3,15.08,2,9.08,2,9.08,2
2386,55.78,17,56.34,17,46.2,14,33.5,11,35.18,10
2389,57.88,14,59.62,13,51.99,6,63.14,5,63.77,4
2391,10.91,7,12.33,5,12.33,4,5.43,2,5.7,2
2392,22.97,12,27.1,14,25.2,11,14.18,9,13.9,10
2396,14.46,8,12.87,7,8.65,3,2.97,0,2.67,0
2397,48.2,11,49.65,11,57.59,9,60.53,3,55.08,3
2398,24.21,11,24.21,9,18.4,4,20.22,4,19.82,4
2401,39.89,16,31.91,16,29.1,7,33.29,7,35.95,8
2413,48.24,17,52.1,16,47.41,13,47.1,11,47.57,11
2414,20.49,10,22.33,10,18.09,10,8.28,8,7.7,7
2423,28.27,7,31.1,6,29.86,5,23.86,2,24.81,2
2425,53,7,49.82,6,49.32,6,38.37,2,41.06,2
2427,44.03,12,44.91,11,44.01,11,26.21,10,26.47,10
2429,47.41,8,52.15,8,58.41,6,52.16,4,53.72,3
2433,48.47,17,39.26,19,32.98,15,23.68,6,25.1,7
2448,56.26,17,64.14,17,59.01,16,51.6,15,56.76,13
2451,16.96,13,16.79,14,16.96,12,9.49,8,9.3,7
2458,50.59,16,53.12,16,61.62,15,59.55,6,53.6,6
2463,73.75,15,80,18,64,8,80,8,80,8
2465,58.08,18,67.95,19,55.04,17,44.94,8,49.43,9
2467,34.07,15,36.45,16,25.66,8,28.25,8,25.71,8
2470,40.26,12,33.42,13,32.08,11,25.33,7,27.86,6
2475,42.74,13,41.89,14,47.75,13,32.2,11,32.84,10
2481,65.05,20,77.41,20,80,18,80,8,80,8
2489,35.52,15,33.74,16,29.35,14,21.47,14,23.4,15
2491,18.01,8,17.65,7,16.1,3,7.7,4,7.08,4
2500,46.32,17,52.8,15,49.63,13,44.6,11,45.05,13
2504,36.89,28,38.73,27,42.6,25,38.01,5,41.81,5
2507,8.86,6,8.42,4,6.82,0,2,0,2,0
2509,23.07,9,27.22,10,19.38,5,15.75,4,17.33,5
2514,30.21,7,36.25,7,24.36,3,18.97,3,18.97,3
2517,41.49,8,39.42,7,31.54,7,22.86,6,21.03,5
2520,12.26,5,9.81,3,10.4,3,5.44,2,5.6,2
2524,45.17,8,51.04,9,34.3,4,26.72,4,24.58,4
2527,15.84,9,14.57,7,16.46,6,10.45,4,10.55,4
2542,33.25,9,34.58,10,38.04,9,32.8,9,29.85,10
2547,19.31,8,22.79,7,23.25,6,14.02,5,12.9,5
2549,29.68,16,31.46,19,35.24,17,27.48,17,29.4,16
2553,29.56,7,27.2,7,31.55,7,18.5,3,16.84,3
2556,45.24,6,47.95,5,40.28,5,26.85,2,24.17,2
2559,45.12,8,42.41,7,27.14,4,22.5,4,24.3,4
2561,25.17,7,22.9,6,23.13,6,19.37,4,18.21,4
2563,32.56,21,34.51,22,29.33,22,21.62,9,23.13,10
2566,13.34,5,14.14,6,9.84,3,5.05,3,5.25,3
2574,42.31,18,47.81,19,40.64,19,28.17,19,30.42,19
2575,44.1,11,46.75,13,52.36,11,52.74,9,53.79,8
2587,47.83,19,44.96,23,42.08,5,47.13,9,44.77,7
2590,31.99,15,27.19,13,24.36,6,24.19,5,24.19,5
2592,46.48,12,46.94,11,45.06,10,39.76,9,42.94,11
2593,28.15,11,28.99,11,29.57,9,28.3,7,31.13,8
2599,45.67,10,47.5,11,40.28,5,35.31,6,36.72,6
2611,27.61,9,27.61,9,24.07,4,17.67,4,18.55,4
2613,11.09,9,10.87,8,8.78,4,4.96,1,5.26,1
2623,25.48,14,30.58,12,29.97,11,21.27,10,23.4,8
2626,70.91,23,57.44,22,47.68,18,43.49,16,40.88,13
2640,48.98,16,56.33,15,66.47,13,55.48,11,54.37,11
2642,21.32,7,22.39,6,23.06,5,16.6,4,17.43,3
2645,11.97,6,9.7,4,7.68,0,2,0,2,0
2649,13.07,8,12.16,8,12.04,8,7.73,6,7.81,6
2651,68.9,14,68.9,13,55.81,13,47.37,10,45.48,9
2652,25.41,8,26.17,6,23.66,3,25.82,3,26.85,3
2655,41.09,17,38.21,16,40.5,13,38.17,12,39.32,10
2661,70.71,16,79.2,19,80,17,71.38,16,73.52,17
2668,31.48,15,29.59,15,26.04,7,18.67,7,17.92,8
2669,27.74,9,33.01,9,36.97,8,24.79,4,26.28,3
2671,55.59,16,53.37,14,49.53,6,63.96,6,67.8,6
2685,20.89,8,22.77,7,25.5,7,22.58,4,21.9,4
2686,14.48,8,11.73,8,11.61,7,3.87,1,3.79,1
2701,37.03,17,44.44,17,40.44,17,38.89,7,42.39,6
2702,9.21,4,8.66,3,9.87,3,3.87,1,4.06,1
2703,26.66,17,26.13,15,24.56,16,14.37,14,15.23,15
2710,14.96,8,17.5,7,18.9,7,13.47,7,13.07,7
2729,17.3,8,16.09,6,19.31,6,8.57,2,7.8,2
2737,43.65,14,46.71,14,53.25,13,50.51,9,45.96,9
2742,25.5,7,29.33,6,31.38,5,26.52,1,24.66,1
2743,44.44,15,38.66,14,36.73,13,25.89,10,27.7,12
2768,18.67,4,22.4,4,26.21,4,15.06,3,14.46,3
2770,55.19,16,50.22,16,48.21,16,36.87,13,38.34,14
2774,30.83,12,24.66,12,20.22,12,14.62,12,14.33,14
2777,43.66,11,39.73,12,35.36,11,29.36,9,29.36,9
2781,53,22,55.12,25,52.36,26,39.69,25,39.29,24
2782,73.74,11,66.37,12,65.04,11,59.29,10,62.85,10
2784,11.88,5,11.4,3,13.22,3,2.24,1,2.2,1
2785,28.2,16,33.28,17,30.28,14,24.79,7,22.56,8
2794,23.53,10,20.24,9,20.64,7,13.88,3,13.88,3
2804,18.31,9,17.39,8,16.69,8,10.86,8,11.4,8
2810,66.08,10,54.19,10,55.27,10,47.82,8,51.65,7
2811,36.72,13,35.62,11,33.84,10,24.79,9,24.29,11
2814,52.22,23,44.91,26,34.49,5,39.27,5,36.52,5
2816,14.31,9,14.6,9,13.43,8,5.7,3,6.04,3
2826,56.5,11,50.85,10,50.85,10,46.43,7,43.18,6
2830,29.94,8,32.04,6,22.56,3,16.25,3,15.28,4
2832,47.35,18,37.88,17,30.68,14,19,11,20.14,12
2834,63.91,27,58.8,25,47.04,25,39.57,5,35.61,4
2837,36.58,10,41.7,11,35.86,11,24.12,8,26.05,7
2838,40.75,12,38.31,14,32.56,12,22.61,9,21.25,11
2841,14.94,6,16.88,6,17.56,5,11.84,2,12.67,2
2845,33.16,13,38.13,14,32.79,11,23.82,9,25.25,8
2850,13.44,11,11.42,10,10.5,5,8.84,6,9.72,7
2854,38.04,12,44.13,14,28.95,7,19.95,7,19.75,7
2855,27.72,18,22.45,18,20.43,17,14.47,14,13.17,16
2869,52.79,16,53.32,15,43.72,15,29.16,14,30.33,12
2872,34.56,15,41.47,18,43.54,16,33.19,7,35.51,7
2874,40.22,20,41.83,19,33.88,17,26.2,17,25.15,18
2877,49.09,24,55.47,24,58.24,21,53.57,9,57.32,8
2878,43.18,12,48.36,12,39.17,11,34.91,10,37.35,11
2880,27.49,10,32.71,11,25.65,5,23.74,4,23.03,3
2881,43.1,6,40.08,5,35.59,3,29.93,3,32.03,4
2883,41.38,15,37.66,16,40.67,14,26.98,12,27.52,11
2885,61.2,15,56.92,16,46.67,16,39.67,14,38.88,15
2889,23.53,7,24,7,16.32,3,17.07,2,17.58,2
2896,35.22,9,42.26,9,42.68,9,34.53,4,33.49,4
2899,45.04,11,42.34,10,49.54,10,33.61,7,34.95,6
2900,12.19,4,14.26,4,9.7,2,3.73,1,3.84,1
2901,54.64,13,51.91,12,59.18,12,47.26,5,45.84,4
2903,50.32,9,47.3,8,40.68,6,37.97,4,35.31,3
2912,17.49,6,15.74,4,15.9,4,7.63,2,8.24,2
2913,62.78,9,53.99,9,49.67,5,40.67,5,38.23,5
2914,37.55,16,35.3,15,33.54,14,27.55,11,30.31,10
2916,25.4,9,28.96,9,32.44,7,19.87,6,20.07,5
2918,43.25,11,48.44,11,36.82,6,36.18,6,39.44,5
2926,69.75,12,59.29,14,53.36,13,46.43,6,41.79,5
2931,57.61,11,52.43,13,44.04,13,38.24,9,38.62,10
2935,40.26,14,47.91,14,35.65,6,30.54,6,30.23,6
2936,37.95,12,34.16,12,23.5,6,15.5,6,15.5,5
2941,12.79,6,10.23,4,9.21,3,2.32,2,2.51,2
2942,7.53,6,6.85,4,5.42,0,2,0,2,0
2943,32.4,15,29.16,14,28.87,13,14.96,6,15.56,6
2947,34.97,15,34.97,16,32.52,15,27.1,6,27.64,6
2949,10.27,3,11.61,3,8.36,2,5.33,2,5.17,2
2957,20.76,7,20.14,6,16.11,3,17.56,3,18.09,3
2958,18.79,9,20.67,9,18.19,4,13.6,4,12.78,3
2961,11.36,7,11.36,5,12.84,5,7.28,2,6.99,2
2963,15.74,6,17,6,17.17,5,5.94,3,5.88,4
2971,10.78,4,10.67,4,10.35,0,2,2,2,2
2974,38.34,16,38.34,18,39.11,17,22.29,12,20.95,10
2976,49.52,19,49.52,20,51.01,18,39.93,13,39.13,12
2978,41.24,10,49.08,10,44.66,8,28.07,3,30.03,2
