Rent Roll & Operating Assumptions:,,Units:,,FY24,FY25,FY26,FY27,FY28,FY29,Year:,,,,
,,,,,,,,,,,,,,
,Property-Wide Operating Assumptions:,,,,,,,,,,,,,
,New Lease Term (Years):,# Years,10 ,,,,,,,,,,,
,Renewal Probability:,%,- ,,,,,,,,,,,
,# Months of Downtime for Non-Renewal:,#,6,,,,,,,,,,,
,,,,,,,,,,,,,,
,Free Rent and Capital Costs:,,New:,Renewal:,,,,,,,,,,
,# Months of Free Rent:,#,6,3,,,,,,,,,,
,Tenant Improvements (TIs) per RSF:,$ / sq. ft. / Yr, $10.00 , 3.00 ,,,,,,,,,,
,Leasing Commissions (LCs) % Total Lease Value:,%,3.0% ,1.0% ,,,,,,,,,,
,,,,,,,,,,,,,,
,Office Tenant #1 - Full Service (FS) Lease:,,,,,,,,,,,,,
,Rentable Square Feet Occupied:,sq. ft.,"10,000 sq. ft.",,,,,,,,,,,
,Lease Expiration Date:,Date,2026-12-31,,,,,,,,,,,
,,,,,,,,,,,,,,
,Baseline Rent per Square Foot:,$ / sq. ft. / Yr,, $120.00 , $124.80 , $129.79 , $134.98 , $139.03 , $143.204 , $147.50 ,,,,
,Rental Growth Rate:,%,,,4.0% ,4.0% ,4.0% ,3.0% ,3.0% ,3.0% ,,,,
,,,,,,,,,,,,,,
,(+) Base Rental Income:,$,,"1,200,000 ",,,,,,,,,,
,(-) Absorption & Turnover Vacancy:,$,,- ,,,,,,,,,,
,(-) Concessions & Free Rent:,$,,- ,,,,,,,,,,
,(-) Tenant Improvements (TIs):,$,,- ,,,,,,,,,,
,(-) Leasing Commissions (LCs):,$,,- ,,,,,,,,,,
,,,,,,,,,,,,,,
,Office Tenant #2 - Single Net (N) Lease:,,,,,,,,,,,,,
,Rentable Square Feet Occupied:,sq. ft.,"7,000 sq. ft.",,,,,,,,,,,
,Lease Expiration Date:,Date,2027-12-31,,,,,,,,,,,
,,,,,,,,,,,,,,
,Baseline Rent per Square Foot:,$ / sq. ft. / Yr,, $105.00 ,,,,,,,,,,
,Rental Growth Rate:,%,,,5.0% ,5.0% ,4.0% ,4.0% ,3.0% ,3.0% ,,,,
,,,,,,,,,,,,,,
,(+) Base Rental Income:,$,,"735,000 ",,,,,,,,,,
,(-) Absorption & Turnover Vacancy:,$,,- ,,,,,,,,,,
,(-) Concessions & Free Rent:,$,,- ,,,,,,,,,,
,(-) Tenant Improvements (TIs):,$,,- ,,,,,,,,,,
,(-) Leasing Commissions (LCs):,$,,- ,,,,,,,,,,
,,,,,,,,,,,,,,
,(+) Expense Reimbursements:,$,,"280,000 ",,,,,,,,,,
,,,,,,,,,,,,,,
,Tenant #3 - Retailer - Triple Net (NNN) Lease:,,,,,,,,,,,,,
,Rentable Square Feet Occupied:,sq. ft.,"6,000 sq. ft.",,,,,,,,,,,
,Lease Expiration Date:,Date,2031-12-31,,,,,,,,,,,
,,,,,,,,,,,,,,
,Baseline Rent per Square Foot:,$ / sq. ft. / Yr,, $90.00 ,,,,,,,,,,
,Rental Growth Rate:,%,,,6.0% ,5.0% ,4.5% ,4.0% ,3.0% ,3.0% ,,,,
,,,,,,,,,,,,,,
,(+) Base Rental Income:,$,,"540,000 ",,,,,,,,,,
,(-) Absorption & Turnover Vacancy:,$,,- ,,,,,,,,,,
,(-) Concessions & Free Rent:,$,,- ,,,,,,,,,,
,(-) Tenant Improvements (TIs):,$,,- ,,,,,,,,,,
,(-) Leasing Commissions (LCs):,$,,- ,,,,,,,,,,
,,,,,,,,,,,,,,
,(+) Expense Reimbursements:,$,,"300,000 ",,,,,,,,,,
,,,,,,,,,,,,,,
,Annual Capital Costs:,$,,- ,,,,,,,,,,
,Replacement Reserve Ending Amount:,$,"62,500 ","62,500 ",,,,,,,,,,
,,,,,,,,,,,,,,
,Numerical Year: ,Year,,2024,2025,2026,2027,2028,2029,2030,,,,
,,,,,,,,,,,,,,
,,,,Historical:,Projected:,,,,,Stabilized,,,,
Property Pro-Forma:,,Units:,,FY24,FY25,FY26,FY27,FY28,FY29,Year:,,,,
,,,,,,,,,,,,,,
,Revenue:,,,,,,,,,,,,,
,(+) Base Rental Income:,$,," $2,715,000 ",,,,,,,,,,
,(-) Absorption & Turnover Vacancy:,$,, - ,,,,,,,,,,
,(-) Concessions & Free Rent:,$,, - ,,,,,,,,,,
,(+) Expense Reimbursements:,$,," 580,000 ",,,,,,,,,,
,Potential Gross Revenue:,$,," 3,295,000 ",,,,,,,,,,
,(-) General Vacancy:,$,,"(240,000)",,,,,,,,,,
,Effective Gross Income (EGI):,$,,"3,055,000 ",,,,,,,,,,
,,,,,,,,,,,,,,
,Expenses:,,,,,,,,,,,,,
,(-) Property Management Fees:,$,,"(91,650)",,,,,,,,,,
,(-) Common Area Maintenance (CAM):,$,,"(125,000)",,,,,,,,,,
,(-) Common Area Utilities:,$,,"(75,000)",,,,,,,,,,
,(-) Insurance:,$,,"(50,000)",,,,,,,,,,
,(-) Real Estate & Property Taxes:,$,,"(1,000,000)",,,,,,,,,,
,"(-) CapEx, TI, and LC Reserves:",$,,"(62,500)",,,,,,,,,,
,Total Expenses:,$,,"(1,404,150)",,,,,,,,,,
,,,,,,,,,,,,,,
,Net Operating Income (NOI):,$,,"1,650,850 ",,,,,,,,,,
,NOI Margin:,%,,54.0% ,,,,,,,,,,
,,,,,,,,,,,,,,
,"(-) CapEx, TIs, and LCs:",$,,- ,,,,,,,,,,
,(+) Capital Costs Paid from Reserves:,$,,- ,,,,,,,,,,
,,,,,,,,,,,,,,
,Adjusted Net Operating Income:,$,,"1,650,850 ",,,,,,,,,,
