Company name,Technology,2024 Revenue,2024 COGS
StratoLift222,Mechanics,8790338,6020595
QuantumFlow223,Acoustics,11430906,7215382
HyperEdge224,Controls,12166324,14341506
IonCraft225,Mechanics,13953882,1791862
StellarCore226,Materials,4500326,7803880
ExoLink227,Acoustics,17639463,9954991
AeroWorks228,Propulsion,1785281,18615178
AstroSystems229,Avionics,18520022,6892235
CelestDynamics230,Mechanics,12745931,5273665
SkyLabs231,Avionics,17440296,4828267
NovaDrive232,Mechanics,12456669,10882391
OrbitalTech233,Propulsion,2973997,10059552
StratoLift234,Controls,4588155,9515436
QuantumFlow235,Propulsion,10049953,12461365
HyperEdge236,Materials,7814137,8810592
IonCraft237,Materials,13082987,15097320
StellarCore238,Materials,16617196,14052555
ExoLink239,Mechanics,5048594,11264219
AeroWorks240,Propulsion,6768882,4058676
AstroSystems241,Avionics,15945742,12972517
CelestDynamics242,Avionics,7788174,5741119
SkyLabs243,Materials,1326187,7549204
NovaDrive244,Avionics,11119529,11104169
OrbitalTech245,Materials,5796583,19490115
StratoLift246,Mechanics,8305054,11343370
QuantumFlow247,Propulsion,5828256,7904054
HyperEdge248,Acoustics,9216589,1811342
IonCraft249,Avionics,6594954,8605707
StellarCore250,Propulsion,16117086,16851499
ExoLink251,Acoustics,3026641,18092639
AeroWorks252,Controls,2539422,17470723
AstroSystems253,Propulsion,6106388,1642723
CelestDynamics254,Controls,12926487,1037235
SkyLabs255,Controls,8924908,6131964
NovaDrive256,Controls,13196908,14387282
OrbitalTech257,Mechanics,6602163,1825370
StratoLift258,Controls,2405091,17196082
QuantumFlow259,Controls,3100421,12115048
HyperEdge260,Materials,7871292,13582684
IonCraft261,Avionics,7602369,18016625
StellarCore262,Acoustics,9772776,8242284
ExoLink263,Materials,12856867,17782084
AeroWorks264,Acoustics,1501198,2221049
AstroSystems265,Controls,12413094,4719334
CelestDynamics266,Avionics,5231699,14976157
SkyLabs267,Avionics,9691643,14335550
NovaDrive268,Materials,6293223,16568379
OrbitalTech269,Propulsion,2469939,14442904
StratoLift270,Mechanics,9855215,3766926
QuantumFlow271,Materials,17302733,15488708
HyperEdge272,Mechanics,8900485,4515268
IonCraft273,Controls,5301709,7913142
StellarCore274,Avionics,15492064,6080724
ExoLink275,Materials,19063931,14164305
AeroWorks276,Acoustics,12171677,14485650
AstroSystems277,Propulsion,15383513,17402910
CelestDynamics278,Mechanics,4008301,8236856
SkyLabs279,Controls,16596453,7127411
NovaDrive280,Materials,4449589,10201353
OrbitalTech281,Mechanics,15151031,1856386
StratoLift282,Avionics,3272439,12077631
QuantumFlow283,Materials,3494550,5916299
HyperEdge284,Materials,13165133,6535117
IonCraft285,Mechanics,12072055,8897888
StellarCore286,Controls,8451577,17738682
ExoLink287,Avionics,7129975,16897880
AeroWorks288,Avionics,14647336,7908483
AstroSystems289,Mechanics,2890648,4210202
CelestDynamics290,Materials,7881682,14333820
SkyLabs291,Controls,7681165,9645417
NovaDrive292,Materials,15556374,5530064
OrbitalTech293,Materials,16144155,11389574
StratoLift294,Mechanics,17909256,12927630
QuantumFlow295,Avionics,12347529,8668216
HyperEdge296,Acoustics,1320163,10655616
IonCraft297,Materials,6479639,1325301
StellarCore298,Acoustics,15048038,13306659
ExoLink299,Controls,11330469,19001340
AeroWorks300,Propulsion,19907294,2237743
AstroSystems301,Mechanics,15864269,18883684
CelestDynamics302,Mechanics,11954177,8231059
SkyLabs303,Avionics,1301082,16755680
NovaDrive304,Acoustics,14365510,17536588
OrbitalTech305,Mechanics,14171066,1466929
StratoLift306,Avionics,13565322,8263916
QuantumFlow307,Materials,12570481,17844358
HyperEdge308,Mechanics,5628967,4555956
IonCraft309,Acoustics,1631612,11746623
StellarCore310,Mechanics,3702174,11430584
ExoLink311,Acoustics,13325147,7087174
AeroWorks312,Avionics,15193749,10411664
AstroSystems313,Avionics,2481532,17703316
CelestDynamics314,Acoustics,5135376,5606157
SkyLabs315,Propulsion,15150806,19662232
NovaDrive316,Controls,2191651,9334705
OrbitalTech317,Mechanics,15162305,11831436
StratoLift318,Mechanics,19135515,3140484
QuantumFlow319,Acoustics,8648389,2032140
HyperEdge320,Mechanics,6805905,3395523
IonCraft321,Controls,17778708,12721198
StellarCore322,Mechanics,16429779,5669853
ExoLink323,Propulsion,10228119,12430728
AeroWorks324,Controls,8196762,3496574
AstroSystems325,Propulsion,14256519,11467668
CelestDynamics326,Acoustics,13106214,5395671
SkyLabs327,Avionics,4260704,17471712
NovaDrive328,Propulsion,5214097,16815957
OrbitalTech329,Propulsion,17998956,12798015
StratoLift330,Controls,1612766,6108242
QuantumFlow331,Mechanics,9567970,19496461
HyperEdge332,Mechanics,2758448,7492298
IonCraft333,Propulsion,5326227,16809023
StellarCore334,Materials,11336953,1462557
ExoLink335,Controls,2508686,13672615
AeroWorks336,Propulsion,10894011,3490563
AstroSystems337,Acoustics,17823181,5922187
CelestDynamics338,Acoustics,17375129,16476094
SkyLabs339,Avionics,19377981,14344501
NovaDrive340,Avionics,8202520,16374033
OrbitalTech341,Acoustics,15925395,12363237
StratoLift342,Materials,12693211,14916579
QuantumFlow343,Materials,4064904,10482306
HyperEdge344,Controls,12195003,4304122
IonCraft345,Materials,3457895,8481155
StellarCore346,Controls,12823973,4725557
ExoLink347,Materials,15446571,7851965
AeroWorks348,Propulsion,18990638,8913950
AstroSystems349,Materials,3796298,19106565
CelestDynamics350,Materials,7401921,11474536
SkyLabs351,Materials,6497864,18303623
NovaDrive352,Propulsion,12412101,15334721
OrbitalTech353,Avionics,9826331,11589012
StratoLift354,Propulsion,1667538,15626129
QuantumFlow355,Avionics,11965778,14432706
HyperEdge356,Controls,2172854,8953882
IonCraft357,Propulsion,17707424,13807412
StellarCore358,Acoustics,15488066,7963493
ExoLink359,Propulsion,12949112,1797383
AeroWorks360,Mechanics,16764991,16951723
AstroSystems361,Acoustics,8154839,10454884
CelestDynamics362,Materials,11773721,6597056
SkyLabs363,Avionics,7333012,5712150
NovaDrive364,Acoustics,2221298,8283165
OrbitalTech365,Mechanics,6608747,3145602
StratoLift366,Mechanics,10009491,15069304
QuantumFlow367,Acoustics,11314265,8761528
HyperEdge368,Avionics,10452524,5786829
IonCraft369,Controls,14393471,5974773
StellarCore370,Materials,5103462,18494657
ExoLink371,Avionics,17638776,7968885
AeroWorks372,Acoustics,15445689,14504894
AstroSystems373,Controls,13512066,10299398
CelestDynamics374,Avionics,10312694,18139397
SkyLabs375,Propulsion,16336288,8220800
NovaDrive376,Avionics,12362124,12863321
OrbitalTech377,Avionics,3101864,2791058
StratoLift378,Propulsion,10134804,1399733
QuantumFlow379,Materials,3906956,16024478
HyperEdge380,Acoustics,18218140,16539896
IonCraft381,Materials,9541638,6612221
StellarCore382,Acoustics,4840232,4528524
ExoLink383,Acoustics,5287188,4467363
AeroWorks384,Propulsion,15978492,11129770
AstroSystems385,Acoustics,8663293,18774593
CelestDynamics386,Materials,17219692,13368638
SkyLabs387,Mechanics,18186436,1246658
NovaDrive388,Acoustics,8612451,9293517
OrbitalTech389,Acoustics,14060372,19635086
StratoLift390,Propulsion,19705433,9075440
QuantumFlow391,Acoustics,14938816,18710748
HyperEdge392,Mechanics,5609571,11554373
IonCraft393,Propulsion,7910340,16987432
StellarCore394,Controls,2928313,4011206
ExoLink395,Mechanics,19630461,10814899
AeroWorks396,Propulsion,6107488,10480326
AstroSystems397,Mechanics,15096470,14888538
CelestDynamics398,Mechanics,14249158,1256961
SkyLabs399,Controls,6319952,18566631
NovaDrive400,Acoustics,2394516,11407490
OrbitalTech401,Acoustics,8858478,3299734
StratoLift402,Acoustics,13371703,3455584
QuantumFlow403,Acoustics,18989344,13783327
HyperEdge404,Materials,1964807,5731307
IonCraft405,Avionics,19841528,19035611
StellarCore406,Mechanics,11808277,16846856
ExoLink407,Acoustics,14647921,16262405
AeroWorks408,Mechanics,5133183,7458171
AstroSystems409,Avionics,17441626,5739437
CelestDynamics410,Acoustics,1646120,5226719
SkyLabs411,Acoustics,7818154,16112486
NovaDrive412,Propulsion,18785932,15541906
OrbitalTech413,Controls,8465782,8987738
StratoLift414,Materials,18062505,12012537
QuantumFlow415,Acoustics,11450947,2353613
HyperEdge416,Mechanics,6996140,6129454
IonCraft417,Mechanics,17900232,11248482
StellarCore418,Mechanics,18409764,5067774
ExoLink419,Acoustics,12094843,7216623
AeroWorks420,Materials,15713139,4804611
AstroSystems421,Materials,11428178,13065934
CelestDynamics422,Mechanics,5133349,2623526
SkyLabs423,Materials,15626879,18896739
NovaDrive424,Acoustics,15781060,9988870
OrbitalTech425,Avionics,10413486,17523894
StratoLift426,Propulsion,1801441,15061266
QuantumFlow427,Materials,12060024,16494903
HyperEdge428,Propulsion,13185040,7311945
IonCraft429,Avionics,16692104,5649832
StellarCore430,Acoustics,10815841,1171952
ExoLink431,Propulsion,18154181,11788971
AeroWorks432,Acoustics,8156559,3193220
AstroSystems433,Materials,4547699,12364539
CelestDynamics434,Mechanics,14959695,16679117
SkyLabs435,Controls,9285291,14177473
NovaDrive436,Controls,4855362,1575027
OrbitalTech437,Propulsion,2292230,14878104
StratoLift438,Materials,13630889,15360393
QuantumFlow439,Avionics,8330667,7724886
HyperEdge440,Acoustics,6391115,13931826
IonCraft441,Avionics,6512278,17811338
StellarCore442,Avionics,3354272,5314258
ExoLink443,Acoustics,9630085,13510087
AeroWorks444,Materials,2311711,2144733
AstroSystems445,Mechanics,14906286,19542766
CelestDynamics446,Materials,10187378,10822330
SkyLabs447,Propulsion,2129373,14767451
NovaDrive448,Propulsion,15752954,18884955
OrbitalTech449,Propulsion,10575689,3368872
StratoLift450,Controls,3442305,12900173
QuantumFlow451,Mechanics,1575219,13098467
HyperEdge452,Avionics,15468396,11662938
IonCraft453,Materials,13955708,7890081
StellarCore454,Controls,10695623,7122904
ExoLink455,Propulsion,1169633,9902474
AeroWorks456,Avionics,8842381,18283232
AstroSystems457,Mechanics,16971192,7400822
CelestDynamics458,Mechanics,13455808,14926817
SkyLabs459,Materials,17424766,8339740
NovaDrive460,Acoustics,2612679,14954229
OrbitalTech461,Materials,19283471,18256591
StratoLift462,Controls,4943298,19742208
QuantumFlow463,Acoustics,4641247,9685780
HyperEdge464,Avionics,10464158,7205845
IonCraft465,Mechanics,15800355,2846531
StellarCore466,Mechanics,12068334,7463000
ExoLink467,Propulsion,5991524,9442688
AeroWorks468,Controls,5317604,1989172
AstroSystems469,Mechanics,13326611,18078090
CelestDynamics470,Acoustics,3369077,14468013
SkyLabs471,Controls,17335280,13929316
NovaDrive472,Controls,19598297,18134641
OrbitalTech473,Acoustics,15817923,3275890
StratoLift474,Acoustics,4386097,18247952
QuantumFlow475,Materials,14332008,9259611
HyperEdge476,Propulsion,8085837,1757159
IonCraft477,Mechanics,10328400,18380233
StellarCore478,Controls,17217964,17520729
ExoLink479,Controls,17464115,3915171
AeroWorks480,Acoustics,18469958,13360570
AstroSystems481,Acoustics,15737581,18121288
CelestDynamics482,Mechanics,18460868,17289234
SkyLabs483,Avionics,15900525,10580701
NovaDrive484,Propulsion,6593517,7236140
OrbitalTech485,Controls,13161138,1451610
StratoLift486,Mechanics,9921660,9797044
QuantumFlow487,Avionics,2291382,3798651
HyperEdge488,Avionics,4879472,1301186
IonCraft489,Propulsion,8927241,9853808
StellarCore490,Controls,5622977,16232243
ExoLink491,Acoustics,15974951,5904462
AeroWorks492,Mechanics,19788207,13293905
AstroSystems493,Acoustics,6091005,16656071
CelestDynamics494,Controls,19083956,16973967
SkyLabs495,Materials,16698793,19566465
NovaDrive496,Avionics,17207543,9014700
OrbitalTech497,Avionics,15315179,13031411
StratoLift498,Materials,17076870,17288474
QuantumFlow499,Mechanics,8155782,8519354
HyperEdge500,Avionics,13517818,10492353
IonCraft501,Propulsion,9903393,17995161
StellarCore502,Avionics,3966936,2431758
ExoLink503,Acoustics,5169730,11756814
AeroWorks504,Mechanics,3509655,9280223
AstroSystems505,Avionics,3339186,1479430
CelestDynamics506,Avionics,7069096,1312098
SkyLabs507,Controls,14873456,8898596
NovaDrive508,Controls,7610376,10472747
OrbitalTech509,Avionics,6401601,19300975
StratoLift510,Propulsion,14036028,19997439
QuantumFlow511,Avionics,5321229,15067219
HyperEdge512,Materials,10057736,18353097
IonCraft513,Avionics,11980505,16900076
StellarCore514,Mechanics,17818434,12482503
ExoLink515,Controls,4609014,9785358
AeroWorks516,Mechanics,11369677,11069893
AstroSystems517,Avionics,19245774,2053869
CelestDynamics518,Propulsion,7707546,16381483
SkyLabs519,Acoustics,7492116,10719060
NovaDrive520,Controls,19012763,18094050
OrbitalTech521,Mechanics,3956456,13904599
StratoLift522,Acoustics,9935833,15702033
QuantumFlow523,Materials,13508186,13151444
HyperEdge524,Avionics,11587658,6635264
IonCraft525,Materials,3271371,18492583
StellarCore526,Propulsion,9380896,17031246
ExoLink527,Controls,1154341,15365362
AeroWorks528,Propulsion,6317722,16551289
AstroSystems529,Avionics,3872098,17552496
CelestDynamics530,Avionics,4331292,14305986
SkyLabs531,Propulsion,16586734,17435191
NovaDrive532,Propulsion,11142329,13395430
OrbitalTech533,Materials,8938231,8984878
StratoLift534,Propulsion,7376981,17957257
QuantumFlow535,Mechanics,12407556,18850990
HyperEdge536,Acoustics,17396490,4185619
IonCraft537,Acoustics,17830419,11037743
StellarCore538,Materials,11390543,4820798
ExoLink539,Materials,4531315,11483492
AeroWorks540,Propulsion,4571519,5004676
AstroSystems541,Materials,4912707,2886046
CelestDynamics542,Acoustics,13094833,19886737
SkyLabs543,Controls,18737252,15222201
NovaDrive544,Avionics,9332423,16297384
OrbitalTech545,Avionics,16266818,16254875
StratoLift546,Acoustics,9295883,14003453
QuantumFlow547,Acoustics,15515287,7712347
HyperEdge548,Propulsion,17981321,15662024
IonCraft549,Propulsion,15145038,4210293
StellarCore550,Propulsion,3857587,4413963
ExoLink551,Propulsion,11565562,18716091
AeroWorks552,Propulsion,17788747,7042809
AstroSystems553,Acoustics,4473568,15914112
CelestDynamics554,Acoustics,4593785,8717635
SkyLabs555,Acoustics,2730552,7988355
NovaDrive556,Controls,8251651,17624710
OrbitalTech557,Mechanics,8086582,18595069
StratoLift558,Propulsion,4842733,7263646
QuantumFlow559,Avionics,3919131,2651953
HyperEdge560,Avionics,5241800,19063302
IonCraft561,Mechanics,5018510,18843550
StellarCore562,Materials,4260037,6618277
ExoLink563,Materials,12488628,19008881
AeroWorks564,Materials,17840816,19787337
AstroSystems565,Avionics,9942585,5883525
CelestDynamics566,Mechanics,1389134,19812739
SkyLabs567,Acoustics,5727521,8775109
NovaDrive568,Controls,16193178,9049025
OrbitalTech569,Propulsion,2239365,8096459
StratoLift570,Materials,12102227,6643641
QuantumFlow571,Avionics,13192538,18943592
HyperEdge572,Materials,10474446,15320363
IonCraft573,Mechanics,2881818,1423007
StellarCore574,Acoustics,9979498,1310131
ExoLink575,Materials,1068733,11980869
AeroWorks576,Mechanics,7746252,6283347
AstroSystems577,Controls,15469648,19678100
CelestDynamics578,Avionics,2605579,15614278
SkyLabs579,Materials,2864739,13526372
NovaDrive580,Mechanics,10756902,5561780
OrbitalTech581,Avionics,7062360,15411715
StratoLift582,Propulsion,17891529,1670793
QuantumFlow583,Materials,11441414,11171953
HyperEdge584,Propulsion,2579232,4215125
IonCraft585,Mechanics,6112839,11285043
StellarCore586,Controls,5829857,9527451
ExoLink587,Mechanics,6955481,18900410
AeroWorks588,Acoustics,18874554,6228060
AstroSystems589,Avionics,19826861,10111878
CelestDynamics590,Acoustics,13965382,5807644
SkyLabs591,Mechanics,17295173,9416716
NovaDrive592,Avionics,14785957,11934235
OrbitalTech593,Controls,14872245,19275886
StratoLift594,Mechanics,7889463,15214340
QuantumFlow595,Acoustics,6354362,1957996
HyperEdge596,Mechanics,15605826,15227251
IonCraft597,Acoustics,16997701,9976467
StellarCore598,Propulsion,13372798,14335050
ExoLink599,Acoustics,5891050,2053059
AeroWorks600,Materials,4323558,15697093
AstroSystems601,Controls,16181162,13949874
CelestDynamics602,Propulsion,7982659,8775823
SkyLabs603,Avionics,2918108,18984938
NovaDrive604,Propulsion,15295828,1645561
OrbitalTech605,Mechanics,16205878,15577894
StratoLift606,Materials,3944831,19757138
QuantumFlow607,Propulsion,16346319,19318684
HyperEdge608,Acoustics,13474067,5493623
IonCraft609,Controls,14322488,7707646
StellarCore610,Acoustics,2640844,4535737
ExoLink611,Mechanics,6675886,4098586
AeroWorks612,Acoustics,9077176,6132841
AstroSystems613,Acoustics,2107890,2874841
CelestDynamics614,Controls,9099600,8908059
SkyLabs615,Acoustics,18321045,19989610
NovaDrive616,Acoustics,13624204,10792052
OrbitalTech617,Avionics,1360425,3213092
StratoLift618,Avionics,19490083,19255479
QuantumFlow619,Acoustics,8564901,18536012
HyperEdge620,Materials,5361802,11936378
IonCraft621,Acoustics,11971887,6009554
StellarCore622,Controls,11234509,12504544
ExoLink623,Controls,13957630,9458844
AeroWorks624,Propulsion,10031056,11061244
AstroSystems625,Propulsion,13720617,17728360
CelestDynamics626,Materials,12571310,7226273
SkyLabs627,Avionics,4147582,18903745
NovaDrive628,Propulsion,6837917,5438387
OrbitalTech629,Propulsion,7255097,10954257
StratoLift630,Propulsion,4726745,1028887
QuantumFlow631,Controls,4371069,11820552
HyperEdge632,Materials,19860929,18700938
IonCraft633,Controls,5985338,18727092
StellarCore634,Propulsion,5589857,5628209
ExoLink635,Avionics,15746451,5299221
AeroWorks636,Controls,19238290,13920838
AstroSystems637,Materials,9026841,6516337
CelestDynamics638,Materials,3322528,12829426
SkyLabs639,Controls,11135035,8508100
NovaDrive640,Propulsion,1280738,1094122
OrbitalTech641,Materials,18368684,8747368
StratoLift642,Propulsion,9304099,6894944
QuantumFlow643,Materials,3832082,16484475
HyperEdge644,Avionics,11033142,14954964
IonCraft645,Propulsion,2451480,5543669
StellarCore646,Avionics,19769864,11006749
ExoLink647,Propulsion,2272549,1880629
AeroWorks648,Acoustics,2811872,7913406
AstroSystems649,Controls,12753069,11659531
CelestDynamics650,Acoustics,8810224,6858231
SkyLabs651,Controls,1574213,15485399
NovaDrive652,Propulsion,10764126,11742346
OrbitalTech653,Materials,15885213,3279176
StratoLift654,Controls,8810586,5328233
QuantumFlow655,Materials,14131845,14886058
HyperEdge656,Controls,15787837,9501055
IonCraft657,Materials,9768484,12107008
StellarCore658,Acoustics,15395579,13580670
ExoLink659,Materials,8257901,11448672
AeroWorks660,Acoustics,19945092,11124550
AstroSystems661,Avionics,10716750,2445360
CelestDynamics662,Avionics,3146366,14971135
SkyLabs663,Mechanics,17315707,9023358
NovaDrive664,Controls,17207517,12177664
OrbitalTech665,Propulsion,15764530,10217881
StratoLift666,Mechanics,7824054,10285455
QuantumFlow667,Acoustics,1127764,19290427
HyperEdge668,Materials,6649037,2665043
